case_id,court,judge,case_type,year,complexity,legal_domain,outcome,plaintiff_win_probability,description
CASE_2016_0001,Supreme Court of India,Justice B. Nair,Partnership Dispute,2018,5,Arbitration,plaintiff_win,0.439,Partnership dissolution and profit-sharing dispute filed in 2018.
CASE_2016_0002,Rajasthan High Court,Justice S. Sharma,Commercial Fraud,2021,4,Contract Law,plaintiff_win,0.8,Commercial fraud and misrepresentation case filed in 2021.
CASE_2018_0003,Madras High Court,Justice D. Verma,Commercial Fraud,2015,3,Arbitration,plaintiff_win,0.728,Commercial fraud and misrepresentation case filed in 2015.
CASE_2023_0004,Gujarat High Court,Justice M. Singh,Shareholder Dispute,2024,6,Insolvency,defendant_win,0.731,Shareholder rights and corporate governance dispute filed in 2024.
CASE_2015_0005,Bombay High Court,Justice B. Nair,Insolvency Proceedings,2020,3,Insolvency,plaintiff_win,0.572,Corporate insolvency resolution process under IBC filed in 2020.
CASE_2020_0006,Delhi High Court,Justice S. Sharma,Insolvency Proceedings,2016,4,Competition Law,defendant_win,0.607,Corporate insolvency resolution process under IBC filed in 2016.
CASE_2024_0007,Calcutta High Court,Justice C. Joshi,Breach of Contract,2022,5,Intellectual Property,dismissed,0.389,Commercial contract dispute regarding non-performance of obligations filed in 2022.
CASE_2021_0008,Delhi High Court,Justice D. Verma,Partnership Dispute,2024,4,Competition Law,plaintiff_win,0.725,Partnership dissolution and profit-sharing dispute filed in 2024.
CASE_2016_0009,Supreme Court of India,Justice L. Desai,Patent Dispute,2019,6,Intellectual Property,defendant_win,0.657,Patent validity and infringement dispute in technology sector filed in 2019.
CASE_2016_0010,Gujarat High Court,Justice V. Reddy,Shareholder Dispute,2020,5,Corporate Law,plaintiff_win,0.476,Shareholder rights and corporate governance dispute filed in 2020.
CASE_2018_0011,Calcutta High Court,Justice B. Nair,Joint Venture Dispute,2016,5,Corporate Law,defendant_win,0.437,Joint venture agreement breach and profit distribution dispute filed in 2016.
CASE_2018_0012,Bombay High Court,Justice K. Rao,Insolvency Proceedings,2019,5,Arbitration,defendant_win,0.59,Corporate insolvency resolution process under IBC filed in 2019.
CASE_2015_0013,Madras High Court,Justice H. Kapoor,Breach of Contract,2020,5,Securities Law,plaintiff_win,0.662,Commercial contract dispute regarding non-performance of obligations filed in 2020.
CASE_2018_0014,Madhya Pradesh High Court,Justice B. Nair,Arbitration Matter,2018,4,Banking Law,plaintiff_win,0.498,Arbitration award enforcement and challenge proceedings filed in 2018.
CASE_2022_0015,Bombay High Court,Justice V. Reddy,Copyright Violation,2018,3,Insolvency,defendant_win,0.62,Copyright infringement matter concerning unauthorized reproduction filed in 2018.
CASE_2021_0016,Madhya Pradesh High Court,Justice N. Gupta,Arbitration Matter,2018,3,Corporate Law,plaintiff_win,0.645,Arbitration award enforcement and challenge proceedings filed in 2018.
CASE_2016_0017,Supreme Court of India,Justice H. Kapoor,Trademark Infringement,2017,6,Corporate Law,defendant_win,0.548,Trademark infringement case involving brand protection and market confusion filed in 2017.
CASE_2021_0018,Madhya Pradesh High Court,Justice S. Sharma,Insolvency Proceedings,2021,5,Banking Law,plaintiff_win,0.614,Corporate insolvency resolution process under IBC filed in 2021.
CASE_2023_0019,Supreme Court of India,Justice L. Desai,Licensing Agreement,2016,3,Insolvency,defendant_win,0.577,Technology licensing and royalty payment dispute filed in 2016.
CASE_2020_0020,Delhi High Court,Justice V. Reddy,Insolvency Proceedings,2017,6,Banking Law,plaintiff_win,0.569,Corporate insolvency resolution process under IBC filed in 2017.
CASE_2019_0021,Rajasthan High Court,Justice C. Joshi,Copyright Violation,2023,5,Intellectual Property,defendant_win,0.8,Copyright infringement matter concerning unauthorized reproduction filed in 2023.
CASE_2019_0022,Rajasthan High Court,Justice T. Iyer,Patent Dispute,2017,4,Competition Law,plaintiff_win,0.8,Patent validity and infringement dispute in technology sector filed in 2017.
CASE_2023_0023,Rajasthan High Court,Justice A. Kumar,Commercial Fraud,2020,8,Banking Law,plaintiff_win,0.702,Commercial fraud and misrepresentation case filed in 2020.
CASE_2020_0024,Calcutta High Court,Justice M. Singh,Breach of Contract,2018,7,Intellectual Property,plaintiff_win,0.768,Commercial contract dispute regarding non-performance of obligations filed in 2018.
CASE_2022_0025,Delhi High Court,Justice C. Joshi,Intellectual Property,2017,3,Corporate Law,defendant_win,0.479,Comprehensive IP rights protection and licensing dispute filed in 2017.
CASE_2023_0026,Bombay High Court,Justice V. Reddy,Intellectual Property,2024,4,Securities Law,dismissed,0.472,Comprehensive IP rights protection and licensing dispute filed in 2024.
CASE_2023_0027,Madras High Court,Justice B. Nair,Partnership Dispute,2021,7,Competition Law,defendant_win,0.415,Partnership dissolution and profit-sharing dispute filed in 2021.
CASE_2023_0028,Allahabad High Court,Justice S. Sharma,Patent Dispute,2018,5,Intellectual Property,plaintiff_win,0.642,Patent validity and infringement dispute in technology sector filed in 2018.
CASE_2024_0029,Rajasthan High Court,Justice M. Singh,Commercial Fraud,2018,4,Contract Law,plaintiff_win,0.8,Commercial fraud and misrepresentation case filed in 2018.
CASE_2015_0030,Madras High Court,Justice S. Sharma,Breach of Contract,2020,6,Intellectual Property,plaintiff_win,0.8,Commercial contract dispute regarding non-performance of obligations filed in 2020.
CASE_2019_0031,Allahabad High Court,Justice M. Singh,Intellectual Property,2017,6,Banking Law,plaintiff_win,0.559,Comprehensive IP rights protection and licensing dispute filed in 2017.
CASE_2022_0032,Gujarat High Court,Justice M. Singh,Trademark Infringement,2016,4,Securities Law,plaintiff_win,0.668,Trademark infringement case involving brand protection and market confusion filed in 2016.
CASE_2021_0033,Allahabad High Court,Justice H. Kapoor,Licensing Agreement,2015,7,Intellectual Property,plaintiff_win,0.349,Technology licensing and royalty payment dispute filed in 2015.
CASE_2020_0034,Delhi High Court,Justice M. Singh,Patent Dispute,2018,3,Banking Law,plaintiff_win,0.8,Patent validity and infringement dispute in technology sector filed in 2018.
CASE_2017_0035,Calcutta High Court,Justice K. Rao,Patent Dispute,2016,5,Banking Law,defendant_win,0.768,Patent validity and infringement dispute in technology sector filed in 2016.
CASE_2023_0036,Delhi High Court,Justice A. Kumar,Joint Venture Dispute,2023,6,Contract Law,dismissed,0.57,Joint venture agreement breach and profit distribution dispute filed in 2023.
CASE_2018_0037,Bombay High Court,Justice N. Gupta,Shareholder Dispute,2022,7,Arbitration,dismissed,0.476,Shareholder rights and corporate governance dispute filed in 2022.
CASE_2015_0038,Bombay High Court,Justice N. Gupta,Breach of Contract,2021,6,Insolvency,settlement,0.672,Commercial contract dispute regarding non-performance of obligations filed in 2021.
CASE_2022_0039,Calcutta High Court,Justice N. Gupta,Licensing Agreement,2023,6,Banking Law,plaintiff_win,0.7,Technology licensing and royalty payment dispute filed in 2023.
CASE_2019_0040,Madras High Court,Justice A. Kumar,Commercial Fraud,2023,5,Contract Law,plaintiff_win,0.8,Commercial fraud and misrepresentation case filed in 2023.
CASE_2015_0041,Supreme Court of India,Justice T. Iyer,Shareholder Dispute,2023,5,Corporate Law,plaintiff_win,0.56,Shareholder rights and corporate governance dispute filed in 2023.
CASE_2023_0042,Delhi High Court,Justice H. Kapoor,Copyright Violation,2016,4,Intellectual Property,defendant_win,0.674,Copyright infringement matter concerning unauthorized reproduction filed in 2016.
CASE_2018_0043,Gujarat High Court,Justice S. Sharma,Commercial Fraud,2018,3,Contract Law,plaintiff_win,0.638,Commercial fraud and misrepresentation case filed in 2018.
CASE_2021_0044,Madhya Pradesh High Court,Justice T. Iyer,Intellectual Property,2020,5,Insolvency,plaintiff_win,0.654,Comprehensive IP rights protection and licensing dispute filed in 2020.
CASE_2020_0045,Madras High Court,Justice V. Reddy,Insolvency Proceedings,2017,7,Insolvency,defendant_win,0.447,Corporate insolvency resolution process under IBC filed in 2017.
CASE_2016_0046,Supreme Court of India,Justice K. Rao,Commercial Fraud,2024,6,Intellectual Property,plaintiff_win,0.6,Commercial fraud and misrepresentation case filed in 2024.
CASE_2018_0047,Rajasthan High Court,Justice V. Reddy,Copyright Violation,2020,4,Intellectual Property,defendant_win,0.679,Copyright infringement matter concerning unauthorized reproduction filed in 2020.
CASE_2020_0048,Calcutta High Court,Justice R. Patel,Shareholder Dispute,2023,4,Insolvency,defendant_win,0.557,Shareholder rights and corporate governance dispute filed in 2023.
CASE_2023_0049,Supreme Court of India,Justice L. Desai,Merger & Acquisition Dispute,2023,7,Insolvency,settlement,0.65,M&A transaction dispute regarding representations and warranties filed in 2023.
CASE_2016_0050,Bombay High Court,Justice V. Reddy,Trademark Infringement,2016,7,Corporate Law,plaintiff_win,0.746,Trademark infringement case involving brand protection and market confusion filed in 2016.
CASE_2024_0051,Madras High Court,Justice B. Nair,Arbitration Matter,2018,7,Insolvency,plaintiff_win,0.637,Arbitration award enforcement and challenge proceedings filed in 2018.
CASE_2019_0052,Supreme Court of India,Justice S. Sharma,Joint Venture Dispute,2021,7,Insolvency,plaintiff_win,0.698,Joint venture agreement breach and profit distribution dispute filed in 2021.
CASE_2020_0053,Bombay High Court,Justice L. Desai,Partnership Dispute,2017,5,Banking Law,defendant_win,0.504,Partnership dissolution and profit-sharing dispute filed in 2017.
CASE_2021_0054,Rajasthan High Court,Justice A. Kumar,Trademark Infringement,2016,5,Corporate Law,plaintiff_win,0.643,Trademark infringement case involving brand protection and market confusion filed in 2016.
CASE_2020_0055,Madhya Pradesh High Court,Justice D. Verma,Copyright Violation,2021,7,Corporate Law,plaintiff_win,0.384,Copyright infringement matter concerning unauthorized reproduction filed in 2021.
CASE_2020_0056,Supreme Court of India,Justice P. Mehta,Patent Dispute,2018,4,Intellectual Property,plaintiff_win,0.785,Patent validity and infringement dispute in technology sector filed in 2018.
CASE_2023_0057,Gujarat High Court,Justice T. Iyer,Licensing Agreement,2017,4,Arbitration,settlement,0.595,Technology licensing and royalty payment dispute filed in 2017.
CASE_2017_0058,Gujarat High Court,Justice A. Kumar,Copyright Violation,2020,5,Securities Law,defendant_win,0.713,Copyright infringement matter concerning unauthorized reproduction filed in 2020.
CASE_2018_0059,Calcutta High Court,Justice R. Patel,Supply Chain Dispute,2016,5,Securities Law,dismissed,0.406,Supply chain contract breach and delivery obligations dispute filed in 2016.
CASE_2022_0060,Madras High Court,Justice M. Singh,Merger & Acquisition Dispute,2022,8,Competition Law,plaintiff_win,0.67,M&A transaction dispute regarding representations and warranties filed in 2022.
CASE_2018_0061,Madras High Court,Justice A. Kumar,Joint Venture Dispute,2018,8,Securities Law,plaintiff_win,0.478,Joint venture agreement breach and profit distribution dispute filed in 2018.
CASE_2016_0062,Calcutta High Court,Justice P. Mehta,Joint Venture Dispute,2023,5,Securities Law,settlement,0.383,Joint venture agreement breach and profit distribution dispute filed in 2023.
CASE_2023_0063,Karnataka High Court,Justice A. Kumar,Trademark Infringement,2019,4,Corporate Law,plaintiff_win,0.74,Trademark infringement case involving brand protection and market confusion filed in 2019.
CASE_2019_0064,Supreme Court of India,Justice S. Sharma,Commercial Fraud,2021,5,Competition Law,plaintiff_win,0.787,Commercial fraud and misrepresentation case filed in 2021.
CASE_2020_0065,Gujarat High Court,Justice T. Iyer,Intellectual Property,2016,3,Securities Law,settlement,0.598,Comprehensive IP rights protection and licensing dispute filed in 2016.
CASE_2018_0066,Calcutta High Court,Justice A. Kumar,Licensing Agreement,2021,4,Contract Law,plaintiff_win,0.654,Technology licensing and royalty payment dispute filed in 2021.
CASE_2023_0067,Madras High Court,Justice P. Mehta,Insolvency Proceedings,2016,4,Competition Law,defendant_win,0.584,Corporate insolvency resolution process under IBC filed in 2016.
CASE_2016_0068,Calcutta High Court,Justice D. Verma,Partnership Dispute,2021,4,Competition Law,plaintiff_win,0.599,Partnership dissolution and profit-sharing dispute filed in 2021.
CASE_2019_0069,Rajasthan High Court,Justice R. Patel,Patent Dispute,2021,6,Securities Law,defendant_win,0.622,Patent validity and infringement dispute in technology sector filed in 2021.
CASE_2017_0070,Madhya Pradesh High Court,Justice T. Iyer,Partnership Dispute,2021,6,Contract Law,plaintiff_win,0.627,Partnership dissolution and profit-sharing dispute filed in 2021.
CASE_2018_0071,Gujarat High Court,Justice C. Joshi,Commercial Fraud,2024,5,Competition Law,plaintiff_win,0.8,Commercial fraud and misrepresentation case filed in 2024.
CASE_2022_0072,Madras High Court,Justice D. Verma,Shareholder Dispute,2017,5,Intellectual Property,plaintiff_win,0.639,Shareholder rights and corporate governance dispute filed in 2017.
CASE_2024_0073,Karnataka High Court,Justice S. Sharma,Merger & Acquisition Dispute,2018,3,Insolvency,plaintiff_win,0.581,M&A transaction dispute regarding representations and warranties filed in 2018.
CASE_2018_0074,Bombay High Court,Justice A. Kumar,Breach of Contract,2018,4,Banking Law,plaintiff_win,0.8,Commercial contract dispute regarding non-performance of obligations filed in 2018.
CASE_2016_0075,Allahabad High Court,Justice N. Gupta,Joint Venture Dispute,2024,3,Arbitration,plaintiff_win,0.771,Joint venture agreement breach and profit distribution dispute filed in 2024.
CASE_2021_0076,Allahabad High Court,Justice N. Gupta,Patent Dispute,2017,3,Contract Law,defendant_win,0.787,Patent validity and infringement dispute in technology sector filed in 2017.
CASE_2016_0077,Gujarat High Court,Justice M. Singh,Copyright Violation,2023,5,Banking Law,plaintiff_win,0.795,Copyright infringement matter concerning unauthorized reproduction filed in 2023.
CASE_2018_0078,Delhi High Court,Justice K. Rao,Copyright Violation,2022,4,Competition Law,settlement,0.608,Copyright infringement matter concerning unauthorized reproduction filed in 2022.
CASE_2022_0079,Madhya Pradesh High Court,Justice H. Kapoor,Licensing Agreement,2023,6,Securities Law,defendant_win,0.612,Technology licensing and royalty payment dispute filed in 2023.
CASE_2023_0080,Allahabad High Court,Justice R. Patel,Licensing Agreement,2022,4,Banking Law,plaintiff_win,0.584,Technology licensing and royalty payment dispute filed in 2022.
CASE_2018_0081,Calcutta High Court,Justice C. Joshi,Supply Chain Dispute,2023,5,Banking Law,defendant_win,0.514,Supply chain contract breach and delivery obligations dispute filed in 2023.
CASE_2019_0082,Allahabad High Court,Justice S. Sharma,Licensing Agreement,2019,6,Arbitration,plaintiff_win,0.636,Technology licensing and royalty payment dispute filed in 2019.
CASE_2020_0083,Rajasthan High Court,Justice S. Sharma,Copyright Violation,2017,7,Arbitration,plaintiff_win,0.8,Copyright infringement matter concerning unauthorized reproduction filed in 2017.
CASE_2017_0084,Madras High Court,Justice S. Sharma,Insolvency Proceedings,2021,4,Competition Law,plaintiff_win,0.8,Corporate insolvency resolution process under IBC filed in 2021.
CASE_2021_0085,Supreme Court of India,Justice M. Singh,Merger & Acquisition Dispute,2021,3,Securities Law,settlement,0.586,M&A transaction dispute regarding representations and warranties filed in 2021.
CASE_2024_0086,Supreme Court of India,Justice H. Kapoor,Supply Chain Dispute,2024,5,Securities Law,plaintiff_win,0.719,Supply chain contract breach and delivery obligations dispute filed in 2024.
CASE_2020_0087,Calcutta High Court,Justice C. Joshi,Insolvency Proceedings,2021,6,Arbitration,plaintiff_win,0.612,Corporate insolvency resolution process under IBC filed in 2021.
CASE_2019_0088,Gujarat High Court,Justice K. Rao,Breach of Contract,2021,3,Competition Law,plaintiff_win,0.8,Commercial contract dispute regarding non-performance of obligations filed in 2021.
CASE_2021_0089,Bombay High Court,Justice H. Kapoor,Shareholder Dispute,2017,4,Contract Law,settlement,0.603,Shareholder rights and corporate governance dispute filed in 2017.
CASE_2024_0090,Madhya Pradesh High Court,Justice L. Desai,Breach of Contract,2016,3,Securities Law,plaintiff_win,0.735,Commercial contract dispute regarding non-performance of obligations filed in 2016.
CASE_2022_0091,Bombay High Court,Justice A. Kumar,Partnership Dispute,2021,4,Competition Law,plaintiff_win,0.727,Partnership dissolution and profit-sharing dispute filed in 2021.
CASE_2020_0092,Karnataka High Court,Justice C. Joshi,Insolvency Proceedings,2019,6,Securities Law,plaintiff_win,0.378,Corporate insolvency resolution process under IBC filed in 2019.
CASE_2016_0093,Allahabad High Court,Justice A. Kumar,Licensing Agreement,2023,6,Contract Law,settlement,0.703,Technology licensing and royalty payment dispute filed in 2023.
CASE_2020_0094,Madras High Court,Justice L. Desai,Trademark Infringement,2015,4,Contract Law,dismissed,0.555,Trademark infringement case involving brand protection and market confusion filed in 2015.
CASE_2018_0095,Supreme Court of India,Justice T. Iyer,Copyright Violation,2018,5,Corporate Law,plaintiff_win,0.727,Copyright infringement matter concerning unauthorized reproduction filed in 2018.
CASE_2016_0096,Madhya Pradesh High Court,Justice M. Singh,Shareholder Dispute,2019,7,Competition Law,plaintiff_win,0.707,Shareholder rights and corporate governance dispute filed in 2019.
CASE_2024_0097,Delhi High Court,Justice C. Joshi,Merger & Acquisition Dispute,2017,6,Insolvency,plaintiff_win,0.443,M&A transaction dispute regarding representations and warranties filed in 2017.
CASE_2015_0098,Calcutta High Court,Justice T. Iyer,Joint Venture Dispute,2021,5,Securities Law,dismissed,0.565,Joint venture agreement breach and profit distribution dispute filed in 2021.
CASE_2018_0099,Delhi High Court,Justice T. Iyer,Licensing Agreement,2018,4,Intellectual Property,defendant_win,0.668,Technology licensing and royalty payment dispute filed in 2018.
CASE_2019_0100,Madhya Pradesh High Court,Justice C. Joshi,Trademark Infringement,2024,6,Contract Law,plaintiff_win,0.626,Trademark infringement case involving brand protection and market confusion filed in 2024.
CASE_2021_0101,Karnataka High Court,Justice S. Sharma,Intellectual Property,2020,6,Contract Law,defendant_win,0.8,Comprehensive IP rights protection and licensing dispute filed in 2020.
CASE_2022_0102,Delhi High Court,Justice N. Gupta,Arbitration Matter,2022,5,Corporate Law,plaintiff_win,0.589,Arbitration award enforcement and challenge proceedings filed in 2022.
CASE_2023_0103,Calcutta High Court,Justice T. Iyer,Supply Chain Dispute,2023,4,Banking Law,plaintiff_win,0.504,Supply chain contract breach and delivery obligations dispute filed in 2023.
CASE_2024_0104,Calcutta High Court,Justice P. Mehta,Merger & Acquisition Dispute,2018,3,Intellectual Property,plaintiff_win,0.648,M&A transaction dispute regarding representations and warranties filed in 2018.
CASE_2022_0105,Madras High Court,Justice C. Joshi,Shareholder Dispute,2024,6,Securities Law,plaintiff_win,0.538,Shareholder rights and corporate governance dispute filed in 2024.
CASE_2022_0106,Karnataka High Court,Justice R. Patel,Shareholder Dispute,2018,8,Competition Law,settlement,0.474,Shareholder rights and corporate governance dispute filed in 2018.
CASE_2020_0107,Calcutta High Court,Justice T. Iyer,Licensing Agreement,2019,8,Contract Law,defendant_win,0.355,Technology licensing and royalty payment dispute filed in 2019.
CASE_2018_0108,Delhi High Court,Justice M. Singh,Licensing Agreement,2021,5,Banking Law,plaintiff_win,0.738,Technology licensing and royalty payment dispute filed in 2021.
CASE_2018_0109,Allahabad High Court,Justice L. Desai,Licensing Agreement,2022,7,Banking Law,settlement,0.457,Technology licensing and royalty payment dispute filed in 2022.
CASE_2016_0110,Calcutta High Court,Justice M. Singh,Insolvency Proceedings,2018,5,Insolvency,defendant_win,0.529,Corporate insolvency resolution process under IBC filed in 2018.
CASE_2020_0111,Allahabad High Court,Justice D. Verma,Intellectual Property,2020,7,Securities Law,dismissed,0.613,Comprehensive IP rights protection and licensing dispute filed in 2020.
CASE_2023_0112,Karnataka High Court,Justice P. Mehta,Licensing Agreement,2022,3,Insolvency,plaintiff_win,0.776,Technology licensing and royalty payment dispute filed in 2022.
CASE_2018_0113,Delhi High Court,Justice B. Nair,Patent Dispute,2020,6,Intellectual Property,plaintiff_win,0.8,Patent validity and infringement dispute in technology sector filed in 2020.
CASE_2017_0114,Madras High Court,Justice M. Singh,Licensing Agreement,2022,6,Insolvency,defendant_win,0.635,Technology licensing and royalty payment dispute filed in 2022.
CASE_2023_0115,Madhya Pradesh High Court,Justice V. Reddy,Trademark Infringement,2018,6,Insolvency,plaintiff_win,0.504,Trademark infringement case involving brand protection and market confusion filed in 2018.
CASE_2017_0116,Calcutta High Court,Justice A. Kumar,Licensing Agreement,2023,4,Corporate Law,plaintiff_win,0.8,Technology licensing and royalty payment dispute filed in 2023.
CASE_2015_0117,Rajasthan High Court,Justice V. Reddy,Licensing Agreement,2017,7,Banking Law,plaintiff_win,0.53,Technology licensing and royalty payment dispute filed in 2017.
CASE_2015_0118,Madhya Pradesh High Court,Justice V. Reddy,Shareholder Dispute,2022,7,Banking Law,plaintiff_win,0.576,Shareholder rights and corporate governance dispute filed in 2022.
CASE_2015_0119,Calcutta High Court,Justice H. Kapoor,Shareholder Dispute,2016,5,Intellectual Property,plaintiff_win,0.644,Shareholder rights and corporate governance dispute filed in 2016.
CASE_2016_0120,Madhya Pradesh High Court,Justice L. Desai,Joint Venture Dispute,2015,6,Corporate Law,plaintiff_win,0.501,Joint venture agreement breach and profit distribution dispute filed in 2015.
CASE_2024_0121,Calcutta High Court,Justice S. Sharma,Patent Dispute,2016,6,Securities Law,plaintiff_win,0.753,Patent validity and infringement dispute in technology sector filed in 2016.
CASE_2024_0122,Madras High Court,Justice C. Joshi,Intellectual Property,2021,5,Banking Law,settlement,0.568,Comprehensive IP rights protection and licensing dispute filed in 2021.
CASE_2019_0123,Madhya Pradesh High Court,Justice N. Gupta,Partnership Dispute,2024,5,Contract Law,defendant_win,0.567,Partnership dissolution and profit-sharing dispute filed in 2024.
CASE_2016_0124,Madras High Court,Justice L. Desai,Patent Dispute,2019,3,Intellectual Property,plaintiff_win,0.614,Patent validity and infringement dispute in technology sector filed in 2019.
CASE_2017_0125,Rajasthan High Court,Justice S. Sharma,Copyright Violation,2015,5,Securities Law,plaintiff_win,0.501,Copyright infringement matter concerning unauthorized reproduction filed in 2015.
